Id,CustomerId,Dauer,Transaktionsvolumen,Vertriebsweg,Reklamation,Kreditrating,Geschlecht,Alter,Versicherungstyp,Versicherungssumme,Gehalt,Wechsel
2367,15682600,lang,gering,digital,vorgefallen,620,Male,39.0,9,15949279,8058234,Wechsel
8412,15575147,kurz,gering,digital,vorgefallen,699,Male,22.0,9,993390,6829761,kein Wechsel
4981,15768137,durchschnittlich,mittel,analog,vorgefallen,667,Female,23.0,6,13610069,16966933,Wechsel
2399,15672516,lang,mittel,digital,vorgefallen,541,Male,51.0,7,9037328,17986179,kein Wechsel
7735,15774936,lang,gering,digital,nicht vorgefallen,543,Male,41.0,6,14335041,19207016,Wechsel
5733,15742798,kurz,gering,digital,vorgefallen,829,Female,22.0,7,15012644,15210793,Wechsel
1175,15721292,durchschnittlich,mittel,digital,vorgefallen,719,Male,39.0,5,0,1457597,kein Wechsel
6295,15621550,durchschnittlich,hoch,analog,vorgefallen,535,Female,50.0,1,14029258,6953122,Wechsel
1553,15568106,kurz,mittel,analog,nicht vorgefallen,592,Female,38.0,8,11927801,1937073,kein Wechsel
9625,15732437,lang,mittel,digital,nicht vorgefallen,504,Female,44.0,0,13187307,15803672,kein Wechsel
1040,15780870,durchschnittlich,gering,digital,nicht vorgefallen,580,Male,67.0,3,15394614,741892,kein Wechsel
8848,15734714,kurz,gering,digital,vorgefallen,559,Female,29.0,3,7971536,8225228,kein Wechsel
6657,15780056,durchschnittlich,gering,digital,vorgefallen,660,Male,33.0,4,0,2966445,kein Wechsel
7098,15642391,lang,gering,analog,vorgefallen,621,Male,51.0,4,10997883,17774058,Wechsel
8277,15765283,lang,mittel,digital,vorgefallen,624,Female,40.0,3,14996199,10461086,kein Wechsel
7646,15741633,durchschnittlich,gering,digital,nicht vorgefallen,566,Male,32.0,10,14751126,15989103,kein Wechsel
5736,15775116,kurz,mittel,analog,vorgefallen,581,Male,31.0,3,0,8904061,kein Wechsel
1955,15779176,lang,hoch,analog,nicht vorgefallen,565,Female,58.0,3,10888824,13587551,Wechsel
1407,15600821,kurz,gering,digital,nicht vorgefallen,721,Male,69.0,2,10842419,17841835,kein Wechsel
6494,15752846,kurz,mittel,digital,nicht vorgefallen,699,Male,28.0,7,0,2268478,kein Wechsel
238,15794056,kurz,hoch,digital,vorgefallen,668,Female,46.0,2,0,8904846,Wechsel
9523,15790322,kurz,gering,digital,vorgefallen,660,Female,32.0,0,11466889,846050,kein Wechsel
1708,15772892,kurz,gering,analog,vorgefallen,699,Female,49.0,2,0,10576001,kein Wechsel
7017,15767729,durchschnittlich,mittel,digital,nicht vorgefallen,646,Male,25.0,5,18287688,4253759,Wechsel
6702,15792668,lang,mittel,digital,vorgefallen,661,Male,37.0,7,10990806,11503767,Wechsel
3832,15653315,durchschnittlich,mittel,digital,vorgefallen,555,Female,35.0,1,0,1016670,kein Wechsel
298,15650068,kurz,gering,digital,nicht vorgefallen,511,Male,58.0,0,14911731,16259951,kein Wechsel
7947,15785326,durchschnittlich,mittel,digital,vorgefallen,639,Female,35.0,5,13652626,5965303,kein Wechsel
6018,15697480,kurz,mittel,analog,nicht vorgefallen,731,Male,30.0,7,0,14308609,kein Wechsel
6880,15724453,kurz,gering,analog,vorgefallen,570,Male,23.0,2,0,19883098,Wechsel
1788,15725355,kurz,gering,analog,nicht vorgefallen,439,Female,43.0,8,0,1048893,kein Wechsel
9356,15734711,kurz,gering,digital,vorgefallen,373,Male,42.0,7,0,7778637,Wechsel
9552,15772009,kurz,gering,digital,nicht vorgefallen,664,Female,41.0,5,0,15205433,kein Wechsel
2038,15710743,kurz,gering,digital,nicht vorgefallen,621,Male,47.0,0,0,13383137,Wechsel
1569,15670823,lang,gering,digital,vorgefallen,651,Female,42.0,1,11664676,447318,Wechsel
2558,15727021,lang,mittel,digital,nicht vorgefallen,727,Female,30.0,8,11902728,13790354,kein Wechsel
2858,15662434,kurz,mittel,analog,vorgefallen,607,Male,25.0,3,0,18704872,kein Wechsel
6750,15690546,kurz,sehr hoch,analog,vorgefallen,618,Female,42.0,2,0,11109739,Wechsel
1124,15627305,durchschnittlich,gering,digital,vorgefallen,606,Male,35.0,7,0,10683706,Wechsel
9870,15580462,durchschnittlich,gering,digital,nicht vorgefallen,607,Male,40.0,1,11254445,1984222,kein Wechsel
3126,15691808,kurz,gering,digital,vorgefallen,656,Male,43.0,7,13491985,19469195,kein Wechsel
2738,15662098,durchschnittlich,hoch,analog,vorgefallen,650,Male,41.0,3,12880865,11367753,Wechsel
33,15659428,durchschnittlich,mittel,digital,nicht vorgefallen,520,Female,42.0,6,0,3441055,kein Wechsel
2350,15646764,lang,mittel,digital,vorgefallen,617,Female,58.0,3,11902475,3519924,Wechsel
8779,15650322,kurz,gering,analog,nicht vorgefallen,701,Female,34.0,3,10558866,7469441,kein Wechsel
5082,15793307,durchschnittlich,hoch,analog,vorgefallen,724,Female,41.0,4,14288028,1855412,Wechsel
5174,15812594,kurz,mittel,digital,vorgefallen,791,Male,34.0,7,0,9673446,kein Wechsel
1473,15594862,kurz,mittel,analog,vorgefallen,552,Male,36.0,8,0,13254702,kein Wechsel
166,15724623,lang,gering,digital,vorgefallen,704,Female,24.0,7,11303422,16250348,kein Wechsel
9943,15659495,durchschnittlich,gering,digital,nicht vorgefallen,784,Male,23.0,2,0,684773,kein Wechsel
1962,15692416,durchschnittlich,hoch,digital,vorgefallen,358,Female,52.0,8,14354236,14195911,Wechsel
1999,15567399,lang,gering,digital,nicht vorgefallen,633,Male,43.0,3,14416429,15864646,Wechsel
7589,15620832,kurz,mittel,analog,nicht vorgefallen,723,Female,35.0,0,0,6129099,kein Wechsel
4524,15658852,kurz,mittel,digital,nicht vorgefallen,676,Male,38.0,8,0,13369288,kein Wechsel
4480,15648479,kurz,mittel,digital,vorgefallen,655,Female,45.0,0,0,16683071,kein Wechsel
9756,15662698,durchschnittlich,gering,digital,nicht vorgefallen,648,Female,43.0,7,8115382,14453285,Wechsel
9541,15669290,kurz,gering,digital,nicht vorgefallen,603,Male,38.0,8,5936077,19145706,kein Wechsel
8085,15656286,kurz,mittel,analog,vorgefallen,794,Male,33.0,0,0,17812271,kein Wechsel
6635,15678374,kurz,mittel,digital,nicht vorgefallen,666,Female,59.0,5,0,18512309,kein Wechsel
9690,15791674,kurz,mittel,analog,nicht vorgefallen,846,Female,34.0,10,14238861,6839364,kein Wechsel
4708,15811985,durchschnittlich,mittel,analog,vorgefallen,530,Male,44.0,6,0,5589337,kein Wechsel
5177,15588449,durchschnittlich,gering,analog,nicht vorgefallen,591,Female,27.0,5,10781267,16250183,Wechsel
8261,15570855,kurz,mittel,digital,nicht vorgefallen,670,Male,38.0,7,0,7786441,kein Wechsel
4436,15664498,kurz,gering,digital,vorgefallen,508,Male,26.0,7,2059620,1564244,kein Wechsel
1232,15607537,lang,gering,digital,vorgefallen,587,Male,46.0,9,10785082,1394310,Wechsel
4686,15607314,durchschnittlich,gering,digital,vorgefallen,536,Male,53.0,2,14392396,201978,Wechsel
7674,15660871,kurz,gering,digital,vorgefallen,665,Male,28.0,8,13730023,9017483,kein Wechsel
5135,15587240,kurz,mittel,analog,nicht vorgefallen,518,Male,40.0,4,0,19441658,kein Wechsel
914,15710404,kurz,gering,digital,nicht vorgefallen,569,Male,35.0,10,12452552,19379378,kein Wechsel
4421,15698758,durchschnittlich,mittel,digital,nicht vorgefallen,630,Female,31.0,1,0,16980273,kein Wechsel
6205,15616221,kurz,gering,analog,vorgefallen,497,Female,29.0,4,8564681,6323302,Wechsel
4536,15756333,kurz,mittel,digital,nicht vorgefallen,642,Female,55.0,7,0,10151576,kein Wechsel
7639,15665590,kurz,mittel,digital,nicht vorgefallen,541,Male,46.0,6,0,8345667,kein Wechsel
4667,15596870,lang,gering,digital,vorgefallen,749,Male,54.0,3,14476894,933363,Wechsel
9697,15609735,lang,mittel,analog,vorgefallen,533,Male,51.0,6,12754556,7955902,Wechsel
3823,15585823,kurz,gering,digital,vorgefallen,627,Male,31.0,8,12813173,9613147,kein Wechsel
7160,15745375,lang,gering,digital,vorgefallen,640,Male,23.0,3,7201276,16133313,kein Wechsel
9052,15597949,lang,gering,digital,vorgefallen,768,Female,47.0,5,10455261,4813708,Wechsel
4347,15645271,lang,mittel,analog,vorgefallen,615,Male,24.0,8,10852807,17948841,Wechsel
989,15681206,kurz,gering,digital,vorgefallen,722,Female,49.0,3,16819766,14076557,Wechsel
4109,15807768,lang,gering,digital,nicht vorgefallen,702,Male,28.0,1,10303383,4032187,kein Wechsel
7737,15566563,kurz,gering,digital,vorgefallen,777,Female,30.0,4,13785131,500823,Wechsel
81,15663706,kurz,gering,digital,vorgefallen,777,Female,32.0,2,0,13645819,Wechsel
461,15718443,kurz,mittel,digital,vorgefallen,539,Male,39.0,3,0,3669217,kein Wechsel
2024,15633043,durchschnittlich,gering,analog,vorgefallen,545,Female,39.0,6,0,3841074,kein Wechsel
8070,15583764,lang,gering,analog,vorgefallen,791,Male,31.0,1,13024033,9654655,kein Wechsel
1192,15589572,durchschnittlich,mittel,digital,vorgefallen,785,Female,61.0,4,12985572,17021482,Wechsel
1860,15778190,durchschnittlich,gering,digital,nicht vorgefallen,639,Female,28.0,8,9784072,17822277,kein Wechsel
4790,15642022,durchschnittlich,gering,analog,vorgefallen,621,Male,34.0,8,0,4797265,Wechsel
47,15771573,lang,gering,digital,nicht vorgefallen,637,Female,39.0,9,1378438,1176228,Wechsel
3949,15717937,lang,gering,analog,vorgefallen,554,Male,43.0,5,9990689,2498339,kein Wechsel
2504,15625942,durchschnittlich,mittel,analog,vorgefallen,619,Female,45.0,0,0,1136454,kein Wechsel
2464,15725818,lang,gering,digital,nicht vorgefallen,583,Male,40.0,4,1070413,563563,Wechsel
1895,15649418,kurz,mittel,digital,nicht vorgefallen,776,Female,29.0,7,17817104,11581851,kein Wechsel
6383,15812040,kurz,gering,analog,vorgefallen,594,Male,36.0,6,15388015,13543172,kein Wechsel
3062,15697574,kurz,hoch,digital,nicht vorgefallen,582,Female,40.0,9,0,6095445,Wechsel
2238,15808784,kurz,mittel,digital,nicht vorgefallen,835,Male,28.0,2,16356961,15455928,kein Wechsel
2058,15787655,kurz,mittel,digital,vorgefallen,707,Male,47.0,3,0,17430329,kein Wechsel
3573,15791988,kurz,mittel,digital,nicht vorgefallen,670,Male,68.0,4,0,114267,kein Wechsel
3022,15678168,durchschnittlich,mittel,digital,nicht vorgefallen,648,Female,27.0,7,0,16306043,kein Wechsel
3682,15572626,durchschnittlich,mittel,digital,nicht vorgefallen,620,Male,44.0,8,0,1562751,kein Wechsel
2197,15670753,durchschnittlich,gering,digital,nicht vorgefallen,614,Male,35.0,2,12728378,3130235,kein Wechsel
8393,15752507,lang,gering,digital,vorgefallen,769,Male,60.0,9,14884639,19283167,Wechsel
5570,15645847,lang,hoch,digital,vorgefallen,569,Male,35.0,2,10919666,10939319,Wechsel
3317,15575119,kurz,mittel,digital,nicht vorgefallen,779,Male,71.0,3,0,14689536,Wechsel
891,15780140,lang,mittel,digital,nicht vorgefallen,435,Male,32.0,2,5701706,590711,kein Wechsel
2023,15731890,kurz,gering,analog,nicht vorgefallen,601,Male,41.0,1,12397116,17281499,kein Wechsel
2999,15593014,kurz,gering,analog,nicht vorgefallen,525,Male,33.0,1,11283335,17517856,kein Wechsel
2159,15641835,kurz,gering,analog,nicht vorgefallen,683,Male,72.0,3,14099726,5287641,kein Wechsel
8415,15758031,durchschnittlich,gering,analog,nicht vorgefallen,760,Male,38.0,3,9124185,8068235,kein Wechsel
8568,15779496,kurz,mittel,analog,nicht vorgefallen,615,Male,64.0,0,815641,3589609,kein Wechsel
9732,15622192,durchschnittlich,mittel,analog,nicht vorgefallen,724,Male,39.0,3,0,9556281,kein Wechsel
5894,15648067,kurz,mittel,digital,vorgefallen,583,Male,39.0,1,12929928,731076,kein Wechsel
3505,15742834,kurz,gering,digital,nicht vorgefallen,640,Male,45.0,1,0,1090833,kein Wechsel
3585,15741745,kurz,mittel,digital,nicht vorgefallen,757,Male,28.0,7,12091175,13124946,kein Wechsel
9031,15742323,kurz,mittel,digital,vorgefallen,541,Male,39.0,7,0,1982302,kein Wechsel
1196,15739131,lang,gering,digital,vorgefallen,718,Male,28.0,4,656433,2876099,kein Wechsel
3570,15706005,kurz,gering,digital,vorgefallen,674,Male,46.0,2,17470105,9018972,Wechsel
5848,15681887,lang,mittel,digital,nicht vorgefallen,758,Male,33.0,0,12914254,2660628,kein Wechsel
2825,15576360,kurz,gering,digital,nicht vorgefallen,600,Male,40.0,1,14113679,6780383,kein Wechsel
5139,15703728,durchschnittlich,gering,digital,vorgefallen,700,Male,47.0,4,0,12179852,Wechsel
5371,15580701,kurz,gering,digital,vorgefallen,712,Male,33.0,3,15381958,7917609,Wechsel
4849,15660301,lang,mittel,digital,nicht vorgefallen,491,Male,70.0,6,14874592,1781833,kein Wechsel
2393,15657342,lang,gering,digital,vorgefallen,850,Male,28.0,4,14797219,6070872,Wechsel
6911,15710087,lang,hoch,digital,vorgefallen,705,Female,54.0,3,1258893,960135,Wechsel
46,15602280,lang,gering,digital,nicht vorgefallen,829,Female,27.0,9,11204567,11970821,Wechsel
2108,15634949,lang,mittel,digital,nicht vorgefallen,593,Male,74.0,5,16143436,6553217,kein Wechsel
3239,15776844,durchschnittlich,mittel,digital,vorgefallen,762,Female,19.0,6,0,5550017,kein Wechsel
740,15637414,kurz,gering,analog,nicht vorgefallen,618,Female,24.0,7,12873639,3714761,kein Wechsel
4069,15656613,kurz,gering,analog,vorgefallen,646,Female,34.0,3,13128311,13050065,kein Wechsel
6240,15626507,kurz,gering,digital,vorgefallen,558,Male,27.0,1,15228339,18327115,kein Wechsel
9899,15811594,durchschnittlich,gering,digital,nicht vorgefallen,660,Female,28.0,3,12892988,19806971,kein Wechsel
7293,15716276,kurz,gering,digital,vorgefallen,709,Female,34.0,2,11166968,5702966,kein Wechsel
1485,15700212,kurz,mittel,analog,vorgefallen,475,Female,46.0,10,0,1229530,Wechsel
7221,15690492,kurz,mittel,digital,vorgefallen,625,Male,41.0,6,9766316,5712878,kein Wechsel
128,15575492,kurz,mittel,digital,vorgefallen,828,Female,41.0,7,0,17137877,kein Wechsel
5033,15690743,kurz,gering,digital,nicht vorgefallen,536,Female,61.0,8,6519029,6430849,Wechsel
7554,15569917,durchschnittlich,mittel,analog,vorgefallen,706,Male,30.0,6,8760968,13767455,Wechsel
4736,15718773,kurz,mittel,digital,vorgefallen,638,Female,32.0,0,0,16012999,kein Wechsel
8409,15590011,durchschnittlich,gering,digital,nicht vorgefallen,749,Male,38.0,9,12937832,1354934,kein Wechsel
1889,15716324,kurz,gering,digital,nicht vorgefallen,665,Female,23.0,9,1436729,11514733,kein Wechsel
7799,15619016,lang,mittel,digital,nicht vorgefallen,660,Male,46.0,5,10901965,3368056,Wechsel
7834,15797165,kurz,gering,analog,vorgefallen,703,Male,56.0,9,0,8554733,Wechsel
4818,15588587,kurz,gering,digital,nicht vorgefallen,752,Female,36.0,1,8683795,10528055,kein Wechsel
3145,15775590,lang,gering,analog,vorgefallen,482,Female,48.0,2,6932947,10264052,Wechsel
5491,15639278,lang,mittel,digital,nicht vorgefallen,580,Female,36.0,6,14538732,1699632,Wechsel
4491,15726832,lang,gering,digital,nicht vorgefallen,850,Male,61.0,3,14178402,9205375,kein Wechsel
3685,15642137,durchschnittlich,mittel,analog,vorgefallen,695,Female,39.0,5,0,10276369,kein Wechsel
149,15794413,kurz,mittel,analog,nicht vorgefallen,416,Male,32.0,0,0,87887,kein Wechsel
4401,15689633,durchschnittlich,gering,digital,vorgefallen,845,Female,38.0,2,11280392,17963185,kein Wechsel
4235,15609299,kurz,gering,digital,vorgefallen,595,Male,29.0,6,15068579,8777106,kein Wechsel
167,15588537,durchschnittlich,gering,digital,vorgefallen,615,Female,41.0,9,10901323,19649996,kein Wechsel
494,15585865,kurz,mittel,analog,vorgefallen,673,Female,38.0,2,17006192,13490134,Wechsel
2252,15604782,lang,gering,analog,nicht vorgefallen,733,Female,33.0,7,18725794,19043081,kein Wechsel
1245,15658052,kurz,gering,digital,vorgefallen,626,Female,44.0,10,8155393,2006363,Wechsel
3114,15636023,kurz,gering,digital,nicht vorgefallen,619,Female,40.0,10,0,14709384,kein Wechsel
327,15736008,kurz,gering,digital,vorgefallen,644,Female,46.0,9,9544127,10876105,Wechsel
4332,15771543,lang,gering,digital,nicht vorgefallen,507,Male,31.0,2,13423707,16642366,kein Wechsel
908,15754713,durchschnittlich,gering,digital,nicht vorgefallen,685,Male,31.0,10,13521371,12577728,kein Wechsel
1188,15639882,kurz,mittel,digital,vorgefallen,528,Male,30.0,2,12826272,5077116,kein Wechsel
5845,15654300,lang,gering,analog,nicht vorgefallen,530,Male,33.0,9,7524228,10169467,kein Wechsel
7365,15593178,durchschnittlich,gering,digital,nicht vorgefallen,568,Female,36.0,10,15361061,540838,Wechsel
4287,15657529,lang,gering,digital,nicht vorgefallen,714,Male,53.0,1,9914186,7249605,Wechsel
9337,15797751,lang,gering,digital,nicht vorgefallen,466,Female,47.0,5,10208572,18353624,Wechsel
8681,15746338,kurz,mittel,digital,nicht vorgefallen,565,Female,40.0,2,0,12995613,kein Wechsel
7059,15642934,lang,mittel,digital,vorgefallen,669,Female,35.0,4,1082692,17496992,kein Wechsel
5742,15632665,kurz,gering,analog,nicht vorgefallen,832,Male,61.0,2,0,12780466,kein Wechsel
1655,15659105,kurz,gering,digital,vorgefallen,669,Female,47.0,9,6119654,5817024,kein Wechsel
3774,15691785,kurz,gering,digital,vorgefallen,850,Male,61.0,1,0,5306783,Wechsel
1931,15652693,kurz,gering,analog,vorgefallen,573,Female,26.0,4,12910902,14981468,kein Wechsel
3036,15610403,kurz,mittel,digital,vorgefallen,659,Male,43.0,1,10608642,2690063,kein Wechsel
7151,15608688,kurz,mittel,digital,vorgefallen,442,Male,34.0,4,0,6834308,kein Wechsel
4913,15733447,kurz,gering,digital,nicht vorgefallen,562,Female,51.0,1,12466254,6539046,kein Wechsel
9603,15698927,kurz,mittel,analog,nicht vorgefallen,675,Male,39.0,7,0,3626721,kein Wechsel
9101,15660980,durchschnittlich,mittel,digital,nicht vorgefallen,597,Male,38.0,6,11570267,2505905,kein Wechsel
5306,15749638,kurz,gering,digital,nicht vorgefallen,605,Female,51.0,9,10476082,16557454,Wechsel
3177,15759684,kurz,mittel,analog,nicht vorgefallen,528,Female,27.0,7,17622707,13948153,kein Wechsel
2662,15742272,kurz,gering,analog,vorgefallen,669,Female,44.0,8,9641809,13160948,Wechsel
4995,15583480,kurz,mittel,analog,nicht vorgefallen,807,Female,36.0,4,0,14700733,kein Wechsel
8278,15628715,kurz,mittel,digital,nicht vorgefallen,709,Female,36.0,8,0,6967655,kein Wechsel
2232,15671969,durchschnittlich,mittel,digital,vorgefallen,649,Male,36.0,8,0,16166815,kein Wechsel
484,15676519,durchschnittlich,mittel,digital,vorgefallen,615,Male,61.0,9,0,15022785,Wechsel
6463,15637411,kurz,mittel,analog,nicht vorgefallen,749,Male,30.0,1,0,12655165,kein Wechsel
7275,15642336,kurz,mittel,analog,vorgefallen,669,Female,42.0,9,0,13563032,kein Wechsel
5392,15710012,durchschnittlich,mittel,digital,vorgefallen,738,Male,44.0,2,0,4301882,Wechsel
3472,15761692,kurz,mittel,analog,nicht vorgefallen,594,Male,40.0,9,12241717,19088269,kein Wechsel
1398,15628947,kurz,mittel,analog,vorgefallen,693,Female,38.0,3,0,7813348,Wechsel
2813,15600934,kurz,gering,digital,vorgefallen,758,Female,52.0,7,12509594,17118983,Wechsel
1116,15723250,kurz,mittel,digital,nicht vorgefallen,519,Male,42.0,8,0,10148572,kein Wechsel
6000,15658577,kurz,hoch,analog,nicht vorgefallen,629,Female,37.0,10,9954625,2513695,Wechsel
5583,15620579,durchschnittlich,mittel,analog,nicht vorgefallen,695,Female,31.0,8,0,13164441,kein Wechsel
1759,15757646,kurz,mittel,digital,vorgefallen,584,Male,35.0,9,0,19238121,kein Wechsel
3319,15567114,kurz,gering,analog,vorgefallen,430,Male,35.0,1,11889422,292361,kein Wechsel
2517,15577064,lang,mittel,digital,vorgefallen,592,Male,36.0,2,10470265,10794872,kein Wechsel
7476,15737909,kurz,mittel,digital,vorgefallen,759,Male,44.0,2,11109558,1001377,kein Wechsel
4215,15574213,kurz,gering,digital,nicht vorgefallen,789,Female,53.0,1,15827174,503639,Wechsel
2318,15648005,durchschnittlich,mittel,digital,nicht vorgefallen,672,Male,33.0,2,0,1827380,kein Wechsel
276,15694456,kurz,gering,digital,nicht vorgefallen,756,Male,62.0,3,0,1119904,Wechsel
8223,15603328,kurz,gering,digital,nicht vorgefallen,483,Male,27.0,1,7780566,210189,kein Wechsel
8569,15733460,durchschnittlich,mittel,digital,nicht vorgefallen,622,Male,36.0,9,0,1048526,kein Wechsel
896,15733119,kurz,mittel,digital,vorgefallen,718,Male,35.0,8,0,9482085,kein Wechsel
6230,15616954,kurz,mittel,analog,nicht vorgefallen,592,Male,71.0,4,0,1701354,kein Wechsel
2775,15782468,durchschnittlich,mittel,digital,nicht vorgefallen,850,Male,51.0,3,10979955,1245776,Wechsel
4715,15738220,durchschnittlich,mittel,digital,vorgefallen,800,Male,38.0,1,0,5155343,kein Wechsel
6877,15695148,durchschnittlich,mittel,digital,nicht vorgefallen,614,Female,37.0,9,0,620231,kein Wechsel
877,15800228,durchschnittlich,mittel,digital,nicht vorgefallen,652,Female,42.0,4,0,3815201,kein Wechsel
881,15571928,kurz,hoch,digital,vorgefallen,679,Female,43.0,4,0,11513651,Wechsel
9897,15810563,durchschnittlich,mittel,digital,nicht vorgefallen,678,Female,61.0,8,0,15993882,kein Wechsel
7613,15768449,kurz,mittel,digital,nicht vorgefallen,634,Female,37.0,7,515825,18431288,kein Wechsel
3152,15724161,kurz,sehr hoch,digital,vorgefallen,644,Female,40.0,9,13728526,7706363,Wechsel
1497,15694296,kurz,mittel,digital,vorgefallen,631,Male,35.0,9,11239245,2447223,kein Wechsel
9411,15796115,lang,sehr hoch,digital,vorgefallen,689,Female,40.0,4,7811959,11925934,Wechsel
1586,15595282,kurz,mittel,digital,vorgefallen,735,Female,33.0,4,0,14947469,kein Wechsel
4219,15813504,lang,gering,analog,nicht vorgefallen,543,Female,25.0,1,14656601,16140748,kein Wechsel
3491,15751593,lang,gering,digital,vorgefallen,570,Male,35.0,6,8566859,10552536,kein Wechsel
4941,15715047,durchschnittlich,gering,digital,vorgefallen,640,Male,43.0,9,17247815,1910844,Wechsel
1837,15619343,kurz,mittel,digital,vorgefallen,561,Male,56.0,7,1527590,13316711,Wechsel
6853,15593943,kurz,gering,digital,nicht vorgefallen,685,Female,43.0,1,13266717,4187698,kein Wechsel
3604,15755798,kurz,gering,analog,vorgefallen,610,Male,33.0,4,11158211,11394317,kein Wechsel
1154,15766887,durchschnittlich,mittel,digital,nicht vorgefallen,538,Male,39.0,2,1227735,5846708,kein Wechsel
902,15792388,kurz,gering,digital,nicht vorgefallen,645,Female,48.0,7,9061234,14913913,kein Wechsel
6087,15730759,kurz,gering,digital,vorgefallen,561,Female,27.0,9,1356370,1530804,Wechsel
333,15728669,lang,gering,digital,vorgefallen,584,Female,30.0,8,11201381,17777203,Wechsel
2597,15668818,durchschnittlich,gering,digital,nicht vorgefallen,592,Female,40.0,2,20032245,11324473,kein Wechsel
3200,15720745,durchschnittlich,gering,digital,nicht vorgefallen,635,Male,24.0,4,14019718,14293583,kein Wechsel
1423,15589221,lang,mittel,digital,nicht vorgefallen,657,Male,30.0,1,13976213,2331788,kein Wechsel
1651,15585067,durchschnittlich,gering,digital,nicht vorgefallen,634,Male,31.0,9,10863248,17948596,Wechsel
5390,15573851,kurz,hoch,analog,vorgefallen,735,Female,38.0,1,0,9222012,Wechsel
600,15683503,kurz,hoch,analog,nicht vorgefallen,601,Female,43.0,8,0,11091615,Wechsel
1704,15739054,kurz,gering,analog,nicht vorgefallen,654,Female,29.0,4,9697497,14140407,kein Wechsel
3241,15629739,lang,gering,digital,nicht vorgefallen,621,Female,31.0,8,10037539,9038426,kein Wechsel
5424,15566253,lang,gering,analog,vorgefallen,580,Male,44.0,9,14339107,14689107,Wechsel
5617,15797329,kurz,gering,digital,vorgefallen,626,Male,43.0,4,13763869,13044208,Wechsel
